Stop_ID,Stop_name,Stop_lat,Stop_long,2018-19,2019-20,2020-21
16741,38-Orrong/High,-37.854216,145.011454,10350,2300,16550
16773,38-Orrong/High,-37.854385,145.011708,41050,57500,5900
19274,38-Pascoe Vale/Fletcher,-37.755817,144.925929,82700,48800,31300
18351,38-Victoria Park,-37.801255,145.045977,10800,2950,2400
18579,38-Victoria Park,-37.801314,145.046176,37200,54650,19100
18365,38-Wimbledon/Brighton,-37.87288,144.99008,63150,35200,17500
18617,39-Argyle/Chapel,-37.86339,144.991183,16500,22850,#N/A
16742,39-Auburn/High,-37.854684,145.014969,5200,750,16800
16772,39-Auburn/High,-37.854869,145.015352,11200,74700,5600
6032,39-Ballantyne/High,-37.758349,145.0006,15550,7200,21450
17936,39-Bowen/Maribyrnong,-37.770865,144.909005,32450,29950,13650
18517,39-Bowen/Maribyrnong,-37.771029,144.909182,18750,12850,11050
19443,39-Camberwell Tram Depot,-37.831024,145.054312,39000,86250,8400
19759,39-Camberwell Tram Depot,-37.831217,145.054787,163100,53050,29900
20599,39-Carlisle/Carlisle,-37.869069,144.996509,26650,12000,7450
19067,39-Densham/Malvern,-37.85016,145.01843,18650,8600,12300
19401,39-Florence/Cotham,-37.80894,145.049274,14250,16550,5650
18367,39-Glen Eira/Brighton,-37.87596,144.99202,57300,15250,39700
18976,39-Glen Eira/Brighton,-37.87664,144.99255,17950,18950,4000
6106,39-Gooch/High,-37.75836,145.00074,24200,7200,5350
18352,39-Harp/High,-37.799429,145.050345,13900,17000,2850
18578,39-Harp/High,-37.799567,145.050271,55700,25900,10750
19275,39-Hoddle/Fletcher,-37.755467,144.922763,48250,63150,48450
19627,39-Hoddle/Fletcher,-37.755693,144.923163,43450,7500,12100
18942,39-Irving/Malvern,-37.85005,145.01861,4850,4450,650
4166,39-Latona/Gilbert,-37.745635,144.988805,3450,22150,4750
4477,39-Latona/Gilbert,-37.745624,144.988966,59300,56900,12200
18080,39-Mattingley/Melville,-37.7548,144.94571,28450,25500,10850
17307,39-Mercy College,-37.72989,144.963855,57850,25500,6100
18633,39-Orange/Carlisle,-37.869243,144.996738,54850,30850,16450
19751,39-Thomas/Cotham,-37.80912,145.049744,44000,17050,14500
17852,3-Bourke Street Mall,-37.813405,144.962703,1493450,875500,256400
17875,3-Bourke Street Mall,-37.814037,144.963124,280250,621450,136450
19491,3-Lincoln Square,-37.80237,144.963693,1108000,725700,308400
19694,3-Lincoln Square,-37.802625,144.963559,44800,102450,31600
18087,3-Market/Flinders,-37.819195,144.961325,616400,304100,66300
18178,3-Market/Flinders,-37.81927,144.96136,203050,176150,52200
17597,3-William/Bourke,-37.81588,144.95763,282100,292600,105600
17885,3-William/Bourke,-37.81573,144.95789,922800,556550,148750
17903,3-William/Collins,-37.817609,144.959431,834150,521000,252350
17908,3-William/Collins,-37.817368,144.959917,1577950,1125450,323650
18467,3-William/Flinders,-37.81864,144.95977,27000,58350,16400
18033,3-William/La Trobe,-37.811711,144.956713,137400,141650,21300
18043,3-William/La Trobe,-37.811795,144.95618,203950,93300,37750
18616,40-Alma/Chapel,-37.86158,144.991506,77100,18600,7450
19111,40-Alma/Chapel,-37.861371,144.99173,8800,10600,2400
16743,40-Armadale Station,-37.855122,145.018252,7250,1400,3600
16771,40-Armadale Station,-37.855275,145.018408,70900,15950,31000
4167,40-Bell/Gilbert,-37.744087,144.989056,18500,22150,11000
4478,40-Bell/Gilbert,-37.743542,144.98925,47200,25000,26600
19442,40-Camberwell Junction,-37.831269,145.05643,124600,126350,82850
19760,40-Camberwell Junction,-37.831486,145.057145,63200,37500,17000
21964,40-Camberwell Junction,-37.831595,145.056912,56650,13400,18850
17935,40-Epsom/Maribyrnong,-37.770432,144.90512,48500,20550,11050
18518,40-Epsom/Maribyrnong,-37.770629,144.905675,16500,13400,11550
18353,40-Harp Village,-37.798632,145.052023,11600,6800,700
18577,40-Harp Village,-37.798721,145.052191,26000,23150,15500
20647,40-Hotham/Balaclava,-37.869421,144.999335,70250,13900,9650
18634,40-Hotham/Carlisle,-37.869608,144.99963,17850,36650,12250
18943,40-Kooyong/Malvern,-37.85041,145.02133,6500,2000,2950
19066,40-Kooyong/Malvern,-37.85057,145.02157,7250,8050,8900
4206,40-Mansfield/High,-37.75672,145.00083,32200,24950,13400
6105,40-Mansfield/High,-37.7567,145.00105,83450,16250,38050
18081,40-Moreland/Melville,-37.75316,144.9459,212350,252100,22750
19276,40-Nicholson/Fletcher,-37.755176,144.920205,41350,16450,9700
19628,40-Nicholson/Fletcher,-37.755454,144.92096,24800,32650,11250
17306,40-North Coburg Terminus,-37.727583,144.963651,302250,185900,91450
18368,40-Scott/Brighton,-37.87895,144.99389,45650,24100,5250
18977,40-Scott/Brighton,-37.87889,144.99397,13950,21150,2750
19402,40-St George's Hospital,-37.809378,145.052913,16050,30100,950
19752,40-St George's Hospital,-37.809527,145.053053,48650,21200,17450
18441,40-Wattletree/Dandenong,-37.860807,145.014539,49550,26400,13950
19027,40-Wattletree/Dandenong,-37.860785,145.014784,18900,39400,27650
18944,41-Albany/Malvern,-37.85076,145.02396,400,1600,#N/A
398,41-Armadale/Wattletree,-37.86094,145.017791,9250,13400,7500
4205,41-Blythe/High,-37.75436,145.00123,24900,13400,22800
4168,41-Bruce/Gilbert,-37.741312,144.989495,3450,8850,2000
4479,41-Bruce/Gilbert,-37.740957,144.98971,23000,9500,10800
19441,41-Camberwell Market,-37.831409,145.057631,97450,47950,22700
18440,41-Cantala/Dandenong,-37.86197,145.01764,9500,2950,3150
19026,41-Cantala/Dandenong,-37.86192,145.01774,2250,#N/A,#N/A
18354,41-Clyde/High,-37.797437,145.054788,5400,400,#N/A
18369,41-Coleridge/Brighton,-37.88084,144.99508,33050,15600,16250
18978,41-Coleridge/Brighton,-37.8808,144.99516,8950,18500,7400
6104,41-Collins/High,-37.75455,145.00137,53800,38800,29500
18635,41-Empress/Balaclava,-37.869982,145.002581,7700,42950,13200
19277,41-Fletcher/Napier,-37.754926,144.917603,214100,55400,26400
19657,41-Fletcher/Napier,-37.754946,144.917374,88500,227050,67200
19403,41-Kew Traffic School,-37.80993,145.057672,10700,22700,4850
19753,41-Kew Traffic School,-37.810095,145.057874,44000,15150,13700
16744,41-Kooyong/High,-37.85542,145.020584,45600,10800,13200
16770,41-Kooyong/High,-37.855586,145.020804,37300,30050,16950
18485,41-Maribyrnong Park,-37.770295,144.90257,33300,9450,11650
992,41-Maribyrnong Park,-37.770083,144.902055,41700,11150,14600
19065,41-Murray/Malvern,-37.85088,145.02392,10000,#N/A,7650
21061,41-Riversdale Road - Stop 41,-37.83211,145.05775,74650,87900,35000
18615,41-St Michaels Grammar School,-37.859528,144.991869,11000,17200,4250
19110,41-St Michaels Grammar School,-37.859381,144.992084,4400,4800,23950
18576,41-Station/High,-37.797969,145.053922,31200,9700,12150
20648,41-Vadlure/Balaclava,-37.869703,145.001579,16250,12100,21400
18082,41-Woodlands/Melville,-37.74932,144.94655,288150,69550,21850
21042,42-Allan/Balaclava,-37.870179,145.005311,53900,9700,12700
19404,42-Burke/Cotham,-37.810278,145.060493,39150,90400,33700
19778,42-Burke/Whitehorse,-37.810441,145.060857,75350,68350,27450
21062,42-Camberwell Primary School,-37.83296,145.05874,15800,11800,16050
21063,42-Camberwell Primary School,-37.83334,145.05897,3850,4200,3350
1083,42-Clyde/Raleigh,-37.7697,144.898846,44450,13700,8450
18486,42-Clyde/Raleigh,-37.769767,144.898355,16800,19100,10200
4169,42-Cramer/Gilbert,-37.739099,144.989836,4650,900,6600
4480,42-Cramer/Gilbert,-37.738906,144.990027,32700,42600,34500
18614,42-Dandenong/Chapel,-37.858047,144.992218,25850,43900,12400
19109,42-Dandenong/Chapel,-37.857476,144.992393,8300,3700,6000
6103,42-Dundas/Plenty,-37.75198,145.002,114400,185850,135750
19440,42-Fermanagh/Riversdale,-37.831688,145.0602,22250,24900,10450
19761,42-Fermanagh/Riversdale,-37.831824,145.060182,13300,1700,700
19376,42-Grice/Mt Alexander,-37.752654,144.91588,26050,2200,17350
18370,42-Hotham/Brighton,-37.88286,144.99634,45650,10900,7650
18979,42-Hotham/Brighton,-37.88296,144.9965,4000,3950,#N/A
16745,42-Huntingtower/High,-37.855831,145.023668,8300,7800,8400
16769,42-Huntingtower/High,-37.855992,145.023829,11200,14700,6000
18355,42-Irymple/High,-37.796393,145.057154,6200,2600,2550
18439,42-Kooyong/Dandenong,-37.86284,145.01964,11900,7050,7700
19025,42-Kooyong/Dandenong,-37.8626,145.0193,6200,11150,10900
12599,42-Kooyong/Wattletree,-37.861185,145.019617,22400,15800,3850
409,42-Kooyong/Wattletree,-37.861342,145.019899,10000,17250,5250
18945,42-Lauriston Girls School,-37.85107,145.02623,6100,7600,5100
19064,42-Lauriston Girls School,-37.85119,145.02633,23200,22600,8700
4204,42-Miller/High,-37.75238,145.00158,34250,36100,3550
18083,42-Reynard/Melville,-37.7464,144.94456,212350,261450,25050
19658,42-Shamrock/Mt Alexander,-37.752499,144.915644,5200,2750,19200
18636,42-Sidwell/Balaclava,-37.870339,145.005587,1850,8300,3350
18575,42-Woodlands/High,-37.796323,145.057672,26750,58500,19950
19467,43-Brewster/Mt Alexander,-37.750301,144.914259,13000,26800,15750
18371,43-Brighton/Glenhuntly,-37.8839,144.99758,15700,22550,18650
18980,43-Brighton/Glenhuntly,-37.8838,144.99784,28500,15200,12300
21064,43-Camberwell Civic Centre,-37.83459,145.06063,7050,18650,2900
21065,43-Camberwell Civic Centre,-37.83481,145.06071,30950,7550,#N/A
18710,43-Deepdene Shopping Centre,-37.810922,145.064882,58000,7050,17450
19405,43-Deepdene Shopping Centre,-37.81079,145.064724,4200,31800,30000
19024,43-Egerton/Dandenong,-37.86379,145.02205,5150,2350,1000
11285,43-Egerton/Wattletree,-37.86159,145.0227,8900,2100,5200
940,43-Egerton/Wattletree,-37.861698,145.022698,4300,400,2000
18946,43-Glenferrie/Malvern,-37.851503,145.029877,38400,32200,15550
19063,43-Glenferrie/Malvern,-37.85172,145.0302,81150,52800,15800
